Type Animal FOV Scan_type Valid BPM Diameter Max_flow Speed_change Area_change Compliance
WT E15 6 Y 1 359 91.5769 19.5482 0.184488 0.00496042 0.0750244 
WT E15 7 ThreeD_rfa 1 393 108 2.51841 0 0 0 
WT E15 7 X 0 390 0 2.51841 0 0 0 
WT E15 7 Y 0 391 0 2.51841 0 0 0 
WT E16 1 ThreeD_rfa 1 347 75 5.97218 0 0 0 
WT E16 1 X 1 346 77.3661 5.97218 0.223181 0.0451384 0.872824 
WT E16 1 Y 1 346 64.8659 5.97218 0.269564 0.0649241 0.398153 
WT E16 2 ThreeD_rfa 1 362 123 18.893 0 0 0 
WT E16 2 X 1 359 117.617 18.893 0.352215 0.0292627 1.13654 
WT E16 2 Y 1 361 110.713 18.893 0.374342 0.193501 10.8955 
WT E16 3 ThreeD_rfa 1 382 95 8.32506 0 0 0 
WT E16 3 X 1 380 99.9459 8.32506 0.0756159 0.0272926 6.15225 
WT E16 3 Y 1 381 84.7794 8.32506 0.0803044 0.0388014 3.9202 
WT E16 4 ThreeD_rfa 1 397 122 13.585 0 0 0 
WT E16 4 X 1 394 113.05 13.585 0.166651 0.0241515 2.3293 
WT E16 4 Y 1 396 113.732 13.585 0.151148 0.111059 42.7946 
WT E16 5 ThreeD_rfa 1 396 67 3.55983 0 0 0 
WT E16 5 X 1 400 62.0959 3.55983 1.03449 0.465388 1.83792 
WT E16 5 Y 1 398 63.491 3.55983 0.822274 0.39302 2.22604 
WT E17 1 ThreeD_rfa 1 633 65 3.25067 0 0 0 
WT E17 1 X 1 631 59.6662 3.25067 0.173981 0.0482547 0.53584 
WT E17 1 Y 1 632 64.4291 3.25067 0.212923 0.0396903 0.495857 
WT E17 2 ThreeD_rfa 1 645 109 18.0796 0 0 0 
WT E17 2 X 1 644 99.2505 18.0796 0.0650606 0.00719473 0.586853 
WT E17 2 Y 1 644 94.9378 18.0796 0.0598316 0.0310582 4.01734 
WT E17 3 ThreeD_rfa 0 653 0 0 0 0 0 
WT E17 3 X 0 650 0 0 0 0 0 
WT E17 3 Y 1 652 50.7128 0 0.144059 0.0499452 0 
WT E17 4 ThreeD_rfa 1 609 90 8.30173 0 0 0 
WT E17 4 X 1 616 74.4124 8.30173 0.0826782 0.00569669 0.140486 
WT E17 4 Y 1 610 80.1092 8.30173 0.0588545 -0.0275184 0 
WT E17 5 ThreeD_rfa 1 575 56 3.06188 0 0 0 
WT E17 5 X 1 575 57.8217 3.06188 0.228207 0.019211 0.110386 
WT E17 5 Y 1 577 63.7906 3.06188 0.239655 0.048006 0.547475 
WT E17 6 ThreeD_rfa 1 570 107 29.8477 0 0 0 
WT E17 6 X 1 575 102.397 29.8477 0.060972 -0.0020118 0 
WT E17 6 Y 1 567 109.991 29.8477 0.0562705 0.00899523 0.997614 
WT E17 7 ThreeD_rfa 1 564 79 8.64241 0 0 0 
WT E17 7 X 1 560 73.9218 8.64241 0.0605894 -0.0159301 0 
WT E17 7 Y 1 561 66.1184 8.64241 0.0193021 0.0262452 0 
WT E17 8 ThreeD_rfa 1 566 92 6.46508 0 0 0 
WT E17 8 X 0 569 0 6.46508 0 0 0 
WT E17 8 Y 0 570 0 6.46508 0 0 0 
WT E18 1 ThreeD_rfa 1 540 98 16.9686 0 0 0 
WT E18 1 X 1 539 102.662 16.9686 0.11944 0.0177386 1.08119 
WT E18 1 Y 1 538 92.0043 16.9686 0.104602 0.0200479 0.773655 
WT E18 2 ThreeD_rfa 1 568 120 12.4233 0 0 0 
WT E18 2 X 1 562 118.86 12.4233 0.300067 0.0300107 2.25703 
WT E18 2 Y 1 564 115.1 12.4233 0.340339 0.0348224 1.92416 
WT E18 3 ThreeD_rfa 1 601 127 34.3323 0 0 0 
WT E18 3 X 1 596 112.926 34.3323 0.0449519 -0.00688927 0 
WT E18 3 Y 1 598 120.488 34.3323 0.0339704 -0.00836819 0 
WT E18 4 ThreeD_rfa 1 616 98 8.99129 0 0 0 
WT E18 4 X 1 612 94.3028 8.99129 0.194957 0.009859 0.37533 
WT E18 4 Y 0 617 0 8.99129 0 0 0 
WT E18 5 ThreeD_rfa 1 589 102 6.42397 0 0 0 
WT E18 5 X 1 592 91.3517 6.42397 0.314179 0.196475 16.1852 
WT E18 5 Y 0 591 0 6.42397 0 0 0 
WT E18 6 ThreeD_rfa 1 566 157 22.9527 0 0 0 
WT E18 6 X 1 569 125.624 22.9527 0.368296 0.131229 9.26507 
WT E18 6 Y 1 569 125.163 22.9527 0.202318 0.143111 40.003 
WT E18 7 ThreeD_rfa 1 542 148 26.7863 0 0 0 
WT E18 7 X 1 538 138.019 26.7863 0.3006 0.159472 28.9634 
WT E18 7 Y 1 539 120.935 26.7863 0.175348 0.181341 0 
WT E18 8 ThreeD_rfa 1 533 39 2.43717 0 0 0 
WT E18 8 X 1 536 41.8857 2.43717 0.422377 0.296444 0.699479 
WT E18 8 Y 1 536 48.6221 2.43717 0.607247 0.183195 0.277219 
WT V13 1 ThreeD_rfa 0 142 42 2.43498 0 0 0 
WT V13 1 X 0 142 59.978 2.43498 0.255505 0.103707 1.38191 
WT V13 1 Y 0 134 57.7918 2.43498 0.241124 0.0564369 0.476869 
WT V13 2 ThreeD_rfa 0 146 88 6.28919 0 0 0 
WT V13 2 X 0 143 89.8918 6.28919 0.205764 0.00890351 0.343645 
WT V13 2 Y 0 143 89.2674 6.28919 0.272298 0.0659071 2.46073 
